state,x,y
Adana,1.0 ,-61.0
Adıyaman,106.0 ,-32.0
Afyonkarahisar,-182.0, 8.0
Ağrı,282.0 ,69.0
Amasya,9.0 , 101.
Ankara,-105.0 ,62.0
Antalya,-189.0 , -87.0
Artvin,223.0 , 145.0
Aydın,-291.0 , -31.0
Balıkesir,-285.0 , 60.0
Bilecik,-201.0  ,74.0
Bingöl,193.0  ,30.0
Bitlis,254.0 ,8.0
Bolu,-151.0 , 93.0
Burdur,-208.0 ,-46.0
Bursa,-236.0  ,76.0
Çanakkale,-331.0 , 73.0
Çankırı,-82.0, 99.0
Çorum,-31.0 , 89.0
Denizli,-238.0  ,-36.0
Diyarbakır,177.0  ,-16.0
Edirne,-320.0, 164.0
Elazığ,140.0 , 7.0
Erzincan,140.0 , 60.0
Erzurum,221.0 , 77.0
Eskişehir,-164.0 , 52.0
Gaziantep,71.0 ,-69.0
Giresun,108.0 , 105.0
Gümüşhane,139.0 , 88.0
Hakkari,322.0  ,-30.0
Hatay,26.0,-104.0
Isparta,-177.0  ,-29.0
Mersin,-64.0 ,-102.0
İstanbul,-239.0 , 125.0
İzmir,-327.0 ,-4.0
Kars,282.0 ,106.0
Kastamonu,-68.0 ,139.0
Kayseri,10.0 ,3.0
Kırklareli,-72.0,60.0
Kırşehir,-66.0 , 36.0
Kocaeli,-200.0 ,113.0
Konya,-117.0  ,-24.0
Kütahya,-222.0, 35.0
Malatya,94.0, 4.0
Manisa,-284.0 ,11.0
Kahramanmaraş,51.0 ,-35.0
Mardin,198.0 ,-49.0
Muğla,-280.0 ,-64.0
Muş,225.0 ,25.0
Nevşehir,-34.0 , 5.0
Niğde,-32.0 ,-30.0
Ordu,68.0 , 110.0
Rize,190.0  ,119.0
Sakarya,-185.0 , 100.0
Samsun,20.0 , 132.0
Siirt,254.0 , -19.0
Sinop,-16.0  , 162.0
Sivas,67.0 , 50.0
Tekirdağ,-302.0 , 123.0
Tokat,36.0 , 87.0
Trabzon,154.0 , 114.0
Tunceli,140.0  ,35.0
Şanlıurfa,140.0 , -63.0
Uşak,-235.0  ,-0.0
Van,304.0 , 8.0
Yozgat,-15.0 , 55.0
Zonguldak,-147.0 , 133.0
Aksaray,-68.0 ,-9.0
Bayburt,174.0 ,90.0
Karaman,-85.0  ,-64.0
Kırıkkale,-66.0  ,60.0
Batman,219.0 ,-24.0
Şırnak,270.0  ,-42.0
Bartın,-114.0 , 150.0
Ardahan,269.0 , 142.0
Iğdır,314.0 , 83.0
Yalova,-239.0 , 100.0
Karabük,-111.0 , 124.0
Kilis,64.0  ,-88.0
Osmaniye,29.0 , -59.0
Düzce,-160.0 , 110.0
